type,value,chembl,target
IC50,5.00,CHEMBL1086997,1
IC50,5.365,CHEMBL1029,1
IC50,8.31,CHEMBL2051983,1
IC50,4.77,CHEMBL422734,1
IC50,4.44,CHEMBL240080,1
IC50,4.00,CHEMBL1744444,1
IC50,4.24,CHEMBL209093,1
IC50,4.99,CHEMBL3407618,1
IC50,4.30,CHEMBL354193,1
IC50,6.62,CHEMBL3349433,1
IC50,5.08,CHEMBL2093897,1
IC50,7.37,CHEMBL3349442,1
IC50,7.55,CHEMBL2051761,1
IC50,4.82,CHEMBL4299399,1
IC50,6.92,CHEMBL75971,1
IC50,4.00,CHEMBL2051764,1
IC50,5.05,CHEMBL3354621,1
IC50,5.28,CHEMBL3407639,1
IC50,6.513333333333333333333333333,CHEMBL307429,1
IC50,6.82,CHEMBL3814496,1
IC50,7.00,CHEMBL2051759,1
IC50,4.47,CHEMBL2374252,1
IC50,5.31,CHEMBL239249,1
IC50,5.60,CHEMBL3354624,1
IC50,6.57,CHEMBL3349443,1
IC50,7.00,CHEMBL3349437,1
IC50,5.70,CHEMBL3354025,1
IC50,6.16,CHEMBL3814988,1
IC50,5.70,CHEMBL3814747,1
IC50,5.08,CHEMBL3407637,1
IC50,7.17,CHEMBL2051762,1
IC50,6.26,CHEMBL3349440,1
IC50,5.26,CHEMBL3407624,1
IC50,4.10,CHEMBL2051979,1
IC50,5.82,CHEMBL2051978,1
IC50,5.325,CHEMBL1561,1
IC50,5.10,CHEMBL3354626,1
IC50,5.09,CHEMBL3407634,1
IC50,4.08,CHEMBL238604,1
IC50,5.66,CHEMBL222396,1
IC50,6.70,CHEMBL3349441,1
IC50,6.16,CHEMBL87169,1
IC50,5.38,CHEMBL3084806,1
IC50,5.40,CHEMBL3354623,1
IC50,4.55,CHEMBL396677,1
IC50,5.28,CHEMBL44,1
IC50,6.33,CHEMBL3815109,1
IC50,4.93,CHEMBL3407645,1
IC50,4.80,CHEMBL396678,1
IC50,4.60,CHEMBL437564,1
IC50,4.95,CHEMBL3407620,1
IC50,4.96,CHEMBL3407640,1
IC50,5.82,CHEMBL3814555,1
IC50,5.52,CHEMBL3354625,1
IC50,5.89,CHEMBL476960,1
IC50,5.09,CHEMBL3407638,1
IC50,5.80,CHEMBL3349439,1
IC50,5.25,CHEMBL3407627,1
IC50,4.00,CHEMBL1230806,1
IC50,4.74,CHEMBL3407636,1
IC50,4.00,CHEMBL241374,1
IC50,5.19,CHEMBL3407617,1
IC50,5.14,CHEMBL2051763,1
IC50,4.26,CHEMBL80254,1
IC50,4.35,CHEMBL3407644,1
IC50,7.89,CHEMBL2374253,1
IC50,5.50,CHEMBL2115215,1
IC50,7.14,CHEMBL2051981,1
IC50,5.04,CHEMBL3407641,1
IC50,8.24,CHEMBL2374254,1
IC50,5.82,CHEMBL110458,1
IC50,4.95,CHEMBL3407622,1
IC50,6.28,CHEMBL3349438,1
IC50,7.22,CHEMBL2442258,1
IC50,4.82,CHEMBL1088158,1
IC50,6.48,CHEMBL3349446,1
IC50,6.39,CHEMBL3349434,1
IC50,5.23,CHEMBL3349436,1
IC50,6.19,CHEMBL3814911,1
IC50,5.16,CHEMBL3407623,1
IC50,7.40,CHEMBL501355,1
IC50,4.79,CHEMBL3407633,1
IC50,6.19,CHEMBL2051760,1
IC50,5.50,CHEMBL2051980,1
IC50,5.30,CHEMBL2374255,1
IC50,6.64,CHEMBL3349435,1
IC50,5.60,CHEMBL3354622,1
IC50,4.95,CHEMBL3407646,1
IC50,4.89,CHEMBL3407625,1
IC50,5.96,CHEMBL3814264,1
IC50,4.55,CHEMBL3407635,1
IC50,5.05,CHEMBL1182462,1
IC50,4.27,CHEMBL3407643,1
IC50,5.82,CHEMBL3354062,1
IC50,4.16,CHEMBL241165,1
IC50,4.09,CHEMBL398800,1
IC50,8.21,CHEMBL3349432,1
IC50,5.22,CHEMBL394682,1
IC50,4.82,CHEMBL3407626,1
IC50,4.96,CHEMBL394049,1
IC50,4.85,CHEMBL396679,1
IC50,4.80,CHEMBL377520,1
IC50,7.82,CHEMBL3349431,1
IC50,5.46,CHEMBL574645,1
IC50,5.82,CHEMBL3354063,1
IC50,4.00,CHEMBL379280,1
IC50,5.15,CHEMBL3407632,1
IC50,6.02,CHEMBL3814838,1
IC50,5.07,CHEMBL3407621,1
IC50,5.16,CHEMBL3354627,1
IC50,4.58,CHEMBL3407630,1
IC50,4.24,CHEMBL238603,1
IC50,7.16,CHEMBL2051982,1
IC50,6.48,CHEMBL4639873,3
IC50,10.96,CHEMBL1098465,3
IC50,10.05,CHEMBL566367,3
IC50,8.10,CHEMBL4288994,3
IC50,7.16,CHEMBL3936720,3
IC50,7.57,CHEMBL2112879,3
IC50,6.22,CHEMBL552862,3
IC50,9.22,CHEMBL107156,3
IC50,8.52,CHEMBL455187,3
IC50,7.80,CHEMBL33944,3
IC50,9.11,CHEMBL1928269,3
IC50,6.92,CHEMBL71204,3
IC50,6.98,CHEMBL538031,3
IC50,4.53,CHEMBL183465,3
IC50,7.89,CHEMBL188211,3
IC50,7.30,CHEMBL498866,3
IC50,9.38,CHEMBL1094830,3
IC50,7.30,CHEMBL46693,3
IC50,7.55,CHEMBL87304,3
IC50,4.86,CHEMBL4093768,3
IC50,8.92,CHEMBL544548,3
IC50,10.30,CHEMBL1916292,3
IC50,7.66,CHEMBL3940720,3
IC50,9.46,CHEMBL1098751,3
IC50,9.26,CHEMBL39065,3
IC50,6.58,CHEMBL1650867,3
IC50,8.40,CHEMBL290402,3
IC50,5.89,CHEMBL332732,3
IC50,4.89,CHEMBL364091,3
IC50,5.21,CHEMBL363185,3
IC50,6.72,CHEMBL4217999,3
IC50,8.47,CHEMBL3401748,3
IC50,4.79,CHEMBL460647,3
IC50,5.36,CHEMBL52072,3
IC50,5.02,CHEMBL185650,3
IC50,8.77,CHEMBL3401746,3
IC50,9.30,CHEMBL3954968,3
IC50,6.48,CHEMBL4096417,3
IC50,8.80,CHEMBL8198,3
IC50,6.28,CHEMBL361481,3
IC50,4.70,CHEMBL274528,3
IC50,5.05,CHEMBL338276,3
IC50,4.19,CHEMBL1779440,3
IC50,7.46,CHEMBL2180946,3
IC50,5.50,CHEMBL366107,3
IC50,8.60,CHEMBL373102,3
IC50,8.72,CHEMBL3401747,3
IC50,8.80,CHEMBL23123,3
IC50,9.10,CHEMBL542663,3
IC50,8.24,CHEMBL2180943,3
IC50,8.74,CHEMBL282189,3
IC50,8.60,CHEMBL33627,3
IC50,8.00,CHEMBL321229,3
IC50,4.70,CHEMBL313143,3
IC50,5.52,CHEMBL516604,3
IC50,6.89,CHEMBL282528,3
IC50,4.36,CHEMBL1779335,3
IC50,7.64,CHEMBL3978000,3
IC50,9.54,CHEMBL67064,3
IC50,8.08,CHEMBL378542,3
IC50,7.70,CHEMBL430199,3
IC50,10.22,CHEMBL1916489,3
IC50,7.24,CHEMBL4100445,3
IC50,7.30,CHEMBL4079069,3
IC50,8.70,CHEMBL541830,3
IC50,4.48,CHEMBL432659,3
IC50,8.32,CHEMBL2180947,3
IC50,9.40,CHEMBL1094399,3
IC50,7.72,CHEMBL72812,3
IC50,8.85,CHEMBL41236,3
IC50,7.58,CHEMBL3298786,3
IC50,7.64,CHEMBL3962142,3
IC50,8.77,CHEMBL325323,3
IC50,5.87,CHEMBL1650882,3
IC50,6.46,CHEMBL195768,3
IC50,8.22,CHEMBL393440,3
IC50,7.43,CHEMBL4279202,3
IC50,4.19,CHEMBL45687,3
IC50,8.19,CHEMBL362938,3
IC50,8.68,CHEMBL79579,3
IC50,6.49,CHEMBL51814,3
IC50,8.89,CHEMBL442348,3
IC50,6.23,CHEMBL303917,3
IC50,8.55,CHEMBL26775,3
IC50,5.11,CHEMBL3908967,3
IC50,7.20,CHEMBL116276,3
IC50,4.58,CHEMBL70951,3
IC50,8.30,CHEMBL295224,3
IC50,9.15,CHEMBL245922,3
IC50,7.48,CHEMBL245842,3
IC50,6.42,CHEMBL1650695,3
IC50,5.51,CHEMBL3960150,3
IC50,8.28,CHEMBL365944,3
IC50,5.72,CHEMBL125992,3
IC50,7.70,CHEMBL359924,3
IC50,8.01,CHEMBL1094098,3
IC50,9.15,CHEMBL1339,3
IC50,8.48,CHEMBL365358,3
IC50,7.19,CHEMBL3950140,3
IC50,4.92,CHEMBL174270,3
IC50,5.57,CHEMBL187436,3
IC50,5.69,CHEMBL1916125,3
IC50,7.565,CHEMBL446663,3
IC50,8.53,CHEMBL1095455,3
IC50,8.40,CHEMBL34628,3
IC50,4.62,CHEMBL144545,3
IC50,9.85,CHEMBL569492,3
